date,label,description
2013-08-13,India import duty raised to 10%,Third duty hike of 2013 (8% to 10%) to curb the current-account deficit — raised domestic gold prices vs international
2019-07-05,India import duty raised to 12.5%,Union Budget 2019 raised basic customs duty on gold from 10% to 12.5%
2020-03-09,COVID-19 market crash,Acute phase of the global COVID selloff began — gold whipsawed then rallied to record highs by August 2020
2021-02-01,India import duty cut to 7.5%,Union Budget 2021 cut basic customs duty from 12.5% to 7.5% (plus 2.5% agri cess) — lowered domestic price vs international
2022-02-24,Russia invades Ukraine,Full-scale invasion triggered a safe-haven rush into gold
2022-07-01,India import duty hiked (effective ~15%),Basic customs duty raised from 7.5% to 12.5% (effective rate ~15% with cess) to defend the rupee — domestic price jumped vs international
2023-03-10,US regional banking stress (SVB),Silicon Valley Bank collapse sparked banking-contagion fears — gold rallied as a safe haven
2024-07-23,India import duty cut to 6%,Union Budget 2024 cut customs duty on gold from 15% to 6% — domestic price dropped ~6% overnight while international gold was flat
2024-09-18,US Fed begins rate-cut cycle,First Fed rate cut of the cycle (50bp) — lower yields historically support gold
2025-04-02,US sweeping tariff announcement,Broad US import tariffs announced — trade-war fears drove gold to record highs
